State_code,population,State_name,,,
AN,397000,Andaman and Nicobar Islands,,,
AP,52221000,Andhra Pradesh,,,
AR,1504000,Arunachal Pradesh,,,Sum of population
AS,34293000,Assam,,,1332898000
BR,119520000,Bihar,,,
CH,1179000,Chandigarh,,,
CT,28724000,Chhattisgarh,,,
DL,19814000,NCT of Delhi,,,
DN,959000,Dadra and Nagar Haveli and Daman and Diu,,,
GA,1540000,Goa,,,
GJ,67936000,Gujarat,,,
HP,7300000,Himachal Pradesh,,,
HR,28672000,Haryana,,,
JH,37403000,Jharkhand,,,
JK,13203000,Jammu and Kashmir,,,
KA,65798000,Karnataka,,,
KL,35125000,Kerala,,,
LA,293000,Ladakh,,,
LD,68000,Lakshadweep,,,
MH,122153000,Maharashtra,,,
ML,3224000,Meghalaya,,,
MN,3103000,Manipur[c],,,
MP,82232000,Madhya Pradesh,,,
MZ,1192000,Mizoram,,,
NL,2150000,Nagaland,,,
OR,43671000,Odisha,,,
PB,29859000,Punjab,,,
PY,1504000,Puducherry,,,
RJ,77264000,Rajasthan,,,
SK,664000,Sikkim,,,
TG,37220000,Telangana,,,
TN,75695000,Tamil Nadu,,,
TR,3992000,Tripura,,,
UP,224979000,Uttar Pradesh,,,
UT,11141000,Uttarakhand,,,
WB,96906000,West Bengal,,,
